station,technology,buyout_gbp
Lochend Windfarm,Onshore Wind,9116798
Falkirk Tod Hill Wind Farm,Onshore Wind,9100987
Mynydd Brombil Wind Farm,Onshore Wind,9098054
EMLY BANK,Onshore Wind,9059699
OLDSIDE,Onshore Wind,9057166
Triodos Renewables (Severn) limited,Onshore Wind,8969215
Glenbuck,Onshore Wind,8944972
Fairfield Wind Farm,Onshore Wind,8916519
Lendrums Bridge (NFFO) - A,Onshore Wind,8870832
Burton Wold Wind Farm South,Onshore Wind,8862794
Hoprigshiels,Onshore Wind,8799913
Bryn Blaen Wind Farm,Onshore Wind,8651978
Carsington,Onshore Wind,8651706
Bessy Bell Windfarm,Onshore Wind,8645517
Pendine Wind Farm Limited,Onshore Wind,8625458
Hillhead of Auquhirie,Onshore Wind,8523788
South Sharpley Wind Farm,Onshore Wind,8514601
Upper Holton Halesworth,Onshore Wind,8467209
Red Tile Wind Farm 2 - A,Onshore Wind,8383205
Westnewton Wind Farm,Onshore Wind,8378894
Airvolution Energy (Airfield) Limited,Onshore Wind,8353389
Great Eppleton WF,Onshore Wind,8251589
"Merck, Sharp and Dohme Wind Turbines",Onshore Wind,8144929
Beinn nan Oighrean Windfarm,Onshore Wind,8053592
Greendykeside Wind Farm - A (20/09/2007),Onshore Wind,8046284
Jacksbank Wind,Onshore Wind,7979377
GREAT EPPLETON FARM,Onshore Wind,7915647
Phase 1 Bettyhill Wind Farm,Onshore Wind,7902869
Kirkby Moor Wind Farm - A,Onshore Wind,7807639
Clochnahill Wind Farm,Onshore Wind,7783758
LAMBRIGG WINDFARM,Onshore Wind,7720544
High Hedley 2,Onshore Wind,7571533
Hameldon Hill Extension,Onshore Wind,7537483
Chiplow Wind Farm Ltd,Onshore Wind,7490611
Red House Wind Farm - A,Onshore Wind,7454023
Roade Windfarm Limited,Onshore Wind,7402886
Hill of Skilmafilly Full Accreditation,Onshore Wind,7298102
Mean Moor Wind Farm,Onshore Wind,7283850
Newark Windfarm,Onshore Wind,7280947
Workington Wind - A,Onshore Wind,7259495
Dagenham Wind Park Limited - A.C,Onshore Wind,7232083
"Bilbster Wind Farm, (14/12/07)",Onshore Wind,7229805
Beatrice Offshore Windfarm,Offshore Wind,7223787
Kirkton Wind Turbines,Onshore Wind,7184699
Galsworthy Wind Park Ltd,Onshore Wind,7141388
Orchard End Windfarm,Onshore Wind,7081456
High Volts Wind Farm 2,Onshore Wind,7019457
Potato Pot,Onshore Wind,6995179
Pen Bryn Oer Wind Farm,Onshore Wind,6988691
Crockbaravally Wind Farm Limited,Onshore Wind,6976251
Westmill Wind Farm (19/02/2008) - A,Onshore Wind,6954168
Cloonty Windfarm,Onshore Wind,6925795
Burradale Windfarm Phase 1 - A,Onshore Wind,6859501
Auchadaduie Wind Farm,Onshore Wind,6801758
Swinford Wind Farm,Onshore Wind,6774403
Eye Wind Generating System,Onshore Wind,6722824
Drumduff Wind Farm,Onshore Wind,6681482
Brownieleys,Onshore Wind,6644659
Newton Down Wind Farm Ltd - GP,Onshore Wind,6606558
Boundary Lane,Onshore Wind,6596183
"Nissan Wind Farm - A,C,D",Onshore Wind,6590401
Park Spring Wind Farm,Onshore Wind,6583521
SIDDICK,Onshore Wind,6535974
Burnthouse Windfarm,Onshore Wind,6448087
Trimdon Grange,Onshore Wind,6408749
"Owenreagh Windfarms- A,C",Onshore Wind,6402156
Royd Moor Windfarm - A,Onshore Wind,6352926
CEMMAES B,Onshore Wind,6352767
Dalby Wind Park Ltd,Onshore Wind,6302478
Blyth Harbour Wind Farm - A,Onshore Wind,6263977
BLAEN BOWI WINDCLUSTER,Onshore Wind,6255330
Shepham Wind Farm,Onshore Wind,6148227
High Haswell Wind Farm,Onshore Wind,6123312
Haddo Wind Turbines,Onshore Wind,6089953
Kinegar,Onshore Wind,6082637
Dyffryn Brodyn Wind Farm - A,Onshore Wind,6025596
Eshmore,Onshore Wind,6015081
Gevens,Onshore Wind,5965098
Deuchries Wind Farm,Onshore Wind,5962349
Slieveglass Wind Farm,Onshore Wind,5951239
Braich Ddu (5/07/07),Onshore Wind,5854440
NWDL,Onshore Wind,5815672
Four Burrows Wind Farm - A,Onshore Wind,5814750
FAR OLD PARK FARM,Onshore Wind,5800765
Arnish Moor Windfarm - A,Onshore Wind,5777365
Burradale Wind Farm Phase 2 -A,Onshore Wind,5749182
Middle Balbeggie,Onshore Wind,5661215
Loscar,Onshore Wind,5560568
PARC-CYNOG,Onshore Wind,5445537
MOEL MAELOGEN,Onshore Wind,5383592
House o'Hill,Onshore Wind,5269824
Bernard Matthews Wind Farm Weston LLP,Onshore Wind,5231279
ROYAL SEAFORTH DOCKS,Onshore Wind,5207628
North Pickenham Airfield,Onshore Wind,5172485
THORFINN WIND FARM,Onshore Wind,5160957
Barns of Ayre,Onshore Wind,5143229
CROFTING POWER (HILL OF LYBSTER),Onshore Wind,5105817
Ovenden Moor Windfarm - A,Onshore Wind,5098094
Corby Knowe WF,Onshore Wind,5093700
Irvine GSK Wind Turbines,Onshore Wind,5053234
Mackies Hill of Easterton Wind Turbine - D,Onshore Wind,5022102
Harthill Wind Farm,Onshore Wind,5015920
Mossmorran,Onshore Wind,4967125
Cairnhill Windfarm,Onshore Wind,4941809
