cfd_id,station,unit_name
AR6-WOE-700,Worlds End,Worlds End Solar Farm
AR6-WSH-700,WSE Hartford,WSE HARTFORD WOOD LIMITED
AR6-WSI-610,Windy Std 3,WINDY STANDARD III LIMITED
AR6-WSO-700,Whinfield,Whinfield Solar Farm
AR6-WTS-700,Woodwalton 2,Woodwalton Two Solar Farm
AR6-YAS-700,Yanel Farm,Yanel Farm Solar
AR6-YLT-510,Ynnir 2,Ynnir Lleuad 2
AR7-ABE-700,Aberthaw East,Aberthaw East
AR7-ABS-700,Bolt Solar,AR108 BOLT SOLAR FARM LIMITED
AR7-AYM-011,Awel Y MA,Awel y M̫r Offshore Wind Farm A Phase 1
AR7-AYM-012,Awel Y MA,Awel y M̫r Offshore Wind Farm A Phase 2
AR7-BAA-700,Barnacre,Barnacre Solar Farm
AR7-BBP-011,Berwick Bank,Berwick Bank Phase B (Phase 1)
AR7-BBP-012,Berwick Bank,Berwick Bank Phase B (Phase 2)
AR7-BBP-013,Berwick Bank,Berwick Bank Phase B (Phase 3)
AR7-BBS-700,BF27 BF SOLAR LIMITED,BF27 BF SOLAR LIMITED
AR7-BEB-700,Bengrove Solar Farm,Bengrove Solar Farm
AR7-BEC-700,Berden Solar,Berden Solar
AR7-BEE-700,Belvoir,Belvoir
AR7-BLH-700,Blythe House Solar Farm Limited,Blythe House Solar Farm Limited
AR7-BRA-700,Brynwell Farm Solar,Brynwell Farm Solar
AR7-BRB-700,Brecks Solar farm,Brecks Solar farm
AR7-BRD-700,Brookthorpe Solar Farm,Brookthorpe Solar Farm
AR7-BRF-700,Brownside,Brownside
AR7-BRI-700,Brinsea,Brinsea
AR7-BRO-700,Brogborough Solar Farm,Brogborough Solar Farm
AR7-BUA-700,Burcot,Burcot
AR7-BUC-700,Bucklesham Solar Limited,Bucklesham Solar Limited
AR7-BUS-700,Butterhill Solar PV,Butterhill Solar PV
AR7-BWO-700,Bluebell Wood Solar Farm,Bluebell Wood Solar Farm
AR7-BWP-600,Bettyhill Wind Farm Phase 2,Bettyhill Wind Farm Phase 2
AR7-BWS-700,BF31 WHF SOLAR LIMITED,BF31 WHF SOLAR LIMITED
AR7-CAT-700,Cattybrook Solar Farm,Cattybrook Solar Farm
AR7-CBO-700,Copper Bottom Solar Farm,Copper Bottom Solar Farm
AR7-CBS-700,California Farm Battery Storage and Solar Plant,California Farm Battery Storage and Solar Plant
AR7-CDW-600,Cairn Duhie Wind Farm,Cairn Duhie Wind Farm
AR7-CES-700,Chillington Estate,Chillington Estate
AR7-CHU-700,Church Farm Solar Farm,Church Farm Solar Farm
AR7-CIS-710,Cwm Ifor Solar Farm,Cwm Ifor Solar Farm
AR7-CLG-600,Clachaig Glen,Clachaig Glen
AR7-CMA-700,Caldecote Manor Farm,Caldecote Manor Farm
AR7-COA-700,Colchester Solar Farm,Colchester Solar Farm
AR7-COB-700,Cox's Brook Solar Park,Cox's Brook Solar Park
AR7-COU-700,County Lane,County Lane
AR7-COV-700,Coven Solar,Coven Solar
AR7-CRS-710,Cressing Solar Farm,Cressing Solar Farm
AR7-CSA-700,Cobwood Solar Farm 1,Cobwood Solar Farm 1
AR7-CSE-700,Colbrans Solar ESS Limited,Colbrans Solar ESS Limited
AR7-CST-700,Carlton Solar Farm 2,Carlton Solar Farm 2
AR7-CYP-700,CYP25,CYP25
AR7-DBS-011,Dogger Bank South West CfD Unit A Phase 1,Dogger Bank South West CfD Unit A Phase 1
